Date,Avg_Player,Final_Price,Base_Price,Discount_%,Is_Sale,Is_Weekend,Is_Holiday,Days_Since_Release
2023-04-13,39691.0,59.99,59.99,0.0,0,0,0,413
2023-04-14,43496.0,59.99,59.99,0.0,0,0,0,414
2023-04-15,52158.0,59.99,59.99,0.0,0,1,0,415
2023-04-16,51836.0,59.99,59.99,0.0,0,1,0,416
2023-04-17,38321.0,59.99,59.99,0.0,0,0,0,417
2023-04-18,36923.0,59.99,59.99,0.0,0,0,0,418
2023-04-19,36584.0,59.99,59.99,0.0,0,0,0,419
2023-04-20,36097.0,59.99,59.99,0.0,0,0,0,420
2023-04-21,39789.0,59.99,59.99,0.0,0,0,0,421
2023-04-22,46426.0,59.99,59.99,0.0,0,1,0,422
2023-04-23,48967.0,59.99,59.99,0.0,0,1,0,423
